"Jour","Mois","Titre","Catégorie","Stat","Difficulté","Temps","Coût","Objectif","Pourquoi","Instructions","Variante facile","Variante difficile","Récompense","Statut","Validé","Date de validation","Ressenti"
"44","Mois 2","Accepte le compliment","Gestion des émotions","Mental","3","5 min","0 €","Recevoir un compliment par un simple « merci », sans le minimiser.","Balayer les compliments (« oh c'est rien ») entretient une mauvaise estime de soi. Les accepter pleinement entraîne ton cerveau à reconnaître ta valeur.","Sois attentif au prochain compliment que tu reçois. Réponds uniquement « Merci, ça me touche » et arrête-toi là. Résiste à l'envie de minimiser, de te dévaloriser ou de renvoyer aussitôt la balle.","Si aucun compliment ne vient, relis et accepte un compliment passé reçu par message.","Maintiens cette règle pour tous les compliments de la journée.","Tu apprends à laisser entrer le positif au lieu de le bloquer à la porte.","À venir","Non","",""
"45","Mois 2","Le premier rang","Sortie de zone de confort","Courage","3","Variable","0 €","Te placer volontairement devant, au centre ou en première ligne d'une situation.","On se cache au fond pour ne pas être vu. Choisir le devant, c'est décider d'occuper l'espace et d'assumer ta présence.","Dans un cours, une réunion, une salle de sport ou un événement, repère où tu te mettrais d'habitude. Choisis délibérément la place la plus visible : premier rang, centre, devant. Tiens-toi droit et reste-y jusqu'au bout, sans te replier.","Avance d'un rang par rapport à ta place habituelle.","Prends en plus la parole une fois depuis cette place.","Tu prends l'habitude d'exister au grand jour plutôt que de te fondre dans le décor.","À venir","Non","",""
"46","Mois 2","La lettre à ton futur toi","Confiance en soi","Courage","3","20 min","0 €","Écrire une lettre au toi de la fin de l'année, qui croit en lui.","Projeter une version de toi accomplie crée un cap clair et renforce ton engagement. Tu écris la confiance avant de la vivre.","Commence par « Cher futur moi, voici qui je deviens cette année ». Décris la personne plus confiante que tu construis et pourquoi tu y crois. Range la lettre dans un endroit où tu la retrouveras à la fin de l'année.","Écris un seul paragraphe au lieu d'une lettre complète.","Programme un mail à toi-même pour le jour 365.","Tu te donnes une direction et un témoin futur de ta transformation.","À venir","Non","",""
"47","Mois 2","Exprime un désaccord calme","Relations","Charisme","3","10 min","0 €","Exprimer un désaccord posé sur un sujet où tu aurais d'habitude suivi.","Toujours acquiescer pour éviter le conflit efface ton identité. Affirmer un point de vue différent, sans agressivité, ancre le respect de soi.","Repère une discussion où ton avis diffère de celui exprimé. Dis posément « Je vois les choses autrement, voici pourquoi » et explique. Reste calme et ouvert, même si l'autre n'est pas d'accord.","Exprime ton désaccord à une seule personne de confiance.","Maintiens ton point de vue face à un groupe qui pense l'inverse.","Tu découvres que tu peux être en désaccord sans te faire rejeter.","À venir","Non","",""
"48","Mois 2","La lettre la plus honnête","Gestion des émotions","Mental","4","25 min","0 €","Écrire la lettre la plus honnête à la personne dont tu redoutes le jugement (pas obligé de l'envoyer).","Coucher sur le papier ce qu'on n'ose pas dire à la personne qui nous intimide le plus libère une charge émotionnelle énorme. L'écrit te rend la parole, même sans destinataire.","Identifie la personne dont le regard ou le jugement pèse le plus sur toi. Écris-lui une lettre totalement honnête : ce que tu ressens, ce que tu n'as jamais osé dire. Relis-la une fois, puis décide en conscience : la garder, la déchirer, ou (si tu le veux vraiment) l'envoyer.","Écris seulement les trois phrases que tu n'as jamais osé dire à cette personne.","Lis la lettre à voix haute, seul, comme si la personne était en face de toi.","Tu reprends le pouvoir sur une parole bloquée depuis longtemps, sans dépendre de la réaction de l'autre.","À venir","Non","",""
"49","Mois 2","Partage une opinion en public","Créativité","Création","3","20 min","0 €","Publier une opinion ou une création personnelle visible par d'autres.","Se montrer publiquement expose au jugement, ce qui nous paralyse. Le faire une fois prouve que ta voix mérite d'exister dans l'espace commun.","Choisis une idée, une réflexion ou une création dont tu es un peu fier. Partage-la sur un réseau, dans un groupe ou auprès d'un cercle élargi. Assume-la sans la supprimer dans l'heure par peur des réactions.","Partage dans un petit groupe privé de confiance.","Publie sur un compte ouvert et accepte les retours.","Tu fais le deuil de l'invisibilité confortable et tu existes pour de vrai.","À venir","Non","",""
"50","Mois 2","Le cap des 50, célébré","Confiance en soi","Courage","3","15 min","0 €","Reconnaître ta progression depuis le jour 1 et te féliciter concrètement.","Marquer les paliers entretient la motivation et nourrit l'estime de soi. Tu as tenu 50 jours : c'est une preuve, pas un hasard.","Relis ton carnet et liste trois changements observés depuis le début. Écris une phrase de fierté sincère adressée à toi-même. Offre-toi une petite récompense symbolique et gratuite (un moment, une pause, un plaisir simple).","Note juste un seul progrès et un merci à toi-même.","Raconte ta progression à un proche, à voix haute, sans minimiser.","Tu transformes un effort invisible en fierté assumée et tu recharges ta motivation.","À venir","Non","",""
"51","Mois 2","Ta voix, sur bande","Apprentissage","Savoir","3","25 min","0 €","Enregistrer ta voix en lisant un texte, repérer tics et débit, refaire une prise nette.","On a tous une voix « intérieure » plus assurée que celle qu'on entend sur enregistrement. S'écouter vraiment, repérer ses tics et corriger, c'est apprendre à porter sa parole avec aisance.","Choisis un texte court (un paragraphe, un extrait, quelques lignes que tu aimes). Enregistre une première lecture avec ton téléphone, puis réécoute en notant tes tics (« euh », débit trop rapide, mots avalés). Refais une prise plus nette : plus lente, plus posée, avec les corrections repérées.","Lis seulement deux ou trois phrases et compare les deux prises.","Enchaîne trois prises et garde celle où ta voix est la plus claire et la plus posée.","Tu apprivoises ta voix réelle et tu gagnes un outil concret pour parler avec plus d'assurance.","À venir","Non","",""
"52","Mois 2","Le rejet volontaire","Sortie de zone de confort","Courage","4","15 min","0 €","Faire une demande susceptible d'être refusée, pour t'entraîner au « non ».","La peur du rejet pilote secrètement énormément de nos décisions. Provoquer un petit refus volontaire désamorce cette peur et t'immunise peu à peu.","Choisis une demande raisonnable mais probablement refusée (un surclassement, un délai, un essai gratuit). Formule-la poliment et clairement, sans t'excuser. Accueille le « non » avec un sourire : c'est l'objectif, pas l'échec.","Demande une petite faveur improbable à un commerce.","Enchaîne deux demandes différentes dans la journée.","Tu transformes le rejet en simple information, et il perd son pouvoir sur toi.","À venir","Non","",""
"53","Mois 2","Prends une décision en 60 secondes","Discipline","Discipline","3","10 min","0 €","Trancher une décision que tu repousses, en moins d'une minute de réflexion.","L'indécision chronique sape la confiance : elle dit à ton cerveau que tu ne peux pas te faire confiance. Décider vite, même imparfaitement, restaure ce pouvoir.","Identifie une décision en suspens depuis trop longtemps. Liste les deux options principales, chrono d'une minute lancé. Choisis, engage un premier acte concret immédiatement, et n'y reviens pas.","Applique-le à une décision de faible enjeu pour t'entraîner.","Tranche une décision qui te tracasse depuis des semaines.","Tu sens le soulagement d'avancer plutôt que de ressasser.","À venir","Non","",""
"54","Mois 2","Demande un retour honnête","Relations","Charisme","4","20 min","0 €","Demander à quelqu'un de confiance un retour sincère sur l'un de tes points forts et un axe de progrès.","Oser entendre comment on est perçu demande du courage, mais c'est l'un des plus puissants leviers de confiance lucide : tu sais sur quoi tu t'appuies vraiment.","Choisis une personne bienveillante qui te connaît bien. Demande-lui une qualité qu'elle voit en toi et une chose à améliorer. Écoute sans te défendre, remercie, et note ce qui résonne.","Demande seulement le point fort, sans l'axe de progrès.","Recueille le retour de deux personnes différentes et compare.","Tu remplaces tes suppositions par des faits, et ta confiance devient solide car réaliste.","À venir","Non","",""
"55","Mois 2","Le silence assumé","Gestion des émotions","Mental","3","10 min","0 €","Tenir une pause de quelques secondes avant de répondre, sans combler le vide.","Parler trop vite par malaise trahit le manque d'assurance. Maîtriser le silence montre que tu es à l'aise avec toi-même et donne du poids à ta parole.","Dans tes conversations du jour, marque une pause de 2-3 secondes avant de répondre. Résiste à l'envie de remplir le silence par des « euh » ou des excuses. Parle ensuite posément, en regardant la personne.","Applique-le dans une seule conversation choisie.","Tiens un silence après une question difficile, le temps de répondre vraiment.","Tu découvres que le calme impose plus le respect que le débit rapide.","À venir","Non","",""
"56","Mois 2","Sors seul, assume-le","Expériences nouvelles","Création","4","60 min","0 € à ~10 €","Faire seul une activité que tu n'oses faire qu'accompagné.","Avoir besoin des autres pour exister dans l'espace public révèle une dépendance à leur regard. Y aller seul prouve que ta présence te suffit.","Choisis une activité : café, ciné, expo, restaurant, balade. Vas-y seul, sans te cacher derrière ton téléphone tout du long. Profite vraiment du moment et note ce que tu ressens à l'aise comme inconfortable.","Va prendre un café seul en terrasse pendant 20 minutes.","Va au restaurant ou au cinéma seul, en pleine affluence.","Tu prouves que tu es une bonne compagnie pour toi-même, ce qui te libère du regard des autres.","À venir","Non","",""
"57","Mois 2","La prise de parole préparée","Apprentissage","Savoir","4","30 min","0 €","Présenter une idée structurée à voix haute devant au moins une personne.","Savoir exposer une idée clairement et la défendre est une compétence de confiance majeure. La préparer puis la livrer transforme le trac en maîtrise.","Choisis un sujet que tu connais et prépare trois points clairs. Répète à voix haute une fois, sans lire mot à mot. Présente-la à un proche, un collègue ou un petit groupe, debout et posé.","Présente tes trois points à une seule personne assise en face de toi.","Présente sans notes devant un petit groupe et réponds aux questions.","Tu transformes la peur de parler en plaisir d'être écouté.","À venir","Non","",""
"58","Mois 2","Recadre une critique","Gestion des émotions","Mental","4","20 min","0 €","Reprendre une critique passée qui t'a blessé et en extraire un fait utile sans t'effondrer.","Une confiance solide ne s'écroule pas à la première critique. Apprendre à trier l'utile de l'attaque te rend imperméable au jugement gratuit.","Repense à une critique reçue qui t'a marqué négativement. Sépare ce qui est un fait exploitable de ce qui n'est que de l'opinion ou de l'agressivité. Écris une action concrète tirée du fait utile, et jette mentalement le reste.","Fais l'exercice sur une critique légère et récente.","Travaille la critique qui t'a fait le plus mal, avec recul et calme.","Tu reprends le pouvoir sur l'effet des mots des autres sur toi.","À venir","Non","",""
